module,type,name,res_id,src,value,comments
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_building_category_form,my building_category,my building_category,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_building_form,my building,my building,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_floor_form,my floor,my floor,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_office_form,my office,my office,
building_menagement,model,"ir.actions.act_window,name",building_menagement.action_rent_agreement_form,my rent_agreement,my rent_agreement,
building_menagement,model,"ir.actions.act_window,name",building_menagement.rent_wizard_action,Rentagreement Sold,Rentagreement Sold,
building_menagement,model,"ir.actions.act_window,name",building_menagement.rent_wizard_action_id,Rentagreement Sold,Rentagreement Sold,
building_menagement,model,"ir.actions.report,name",building_menagement.report_info,building info,building info,
building_menagement,model,"ir.model,name",building_menagement.model_building,building,building,
building_menagement,model,"ir.model,name",building_menagement.model_building_category,building_category,building_category,
building_menagement,model,"ir.model,name",building_menagement.model_building_wizard,building_wizard,building_wizard,
building_menagement,model,"ir.model,name",building_menagement.model_floor,floor,floor,
building_menagement,model,"ir.model,name",building_menagement.model_office,office,office,
building_menagement,model,"ir.model,name",building_menagement.model_rent_agreement,rent_agreement,rent_agreement,
building_menagement,model,"ir.model,name",building_menagement.model_rent_wizard,rent_wizard,rent_wizard,
building_menagement,model,"ir.model,name",building_menagement.model_res_partner,Contact,સંપર્ક,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__Sequence,Sequence,Sequence,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__active,Active,Active,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__adress,adress,adress,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__area_rate,area rate,area rate,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__building_cat_many_id,buildingto build_cat,buildingto build_cat,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__building_code,Building Code,Building Code,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__cost_factor,Cost Factor,Cost Factor,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__cost_price,Cost Price,Cost Price,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__date_today,Date today,Date today,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__floor_line,Floor Line,Floor Line,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__image,image,image,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_attachment_count,Attachment Count,Attachment Count,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_channel_ids,Followers (Channels),Followers (Channels),
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_follower_ids,Followers,Followers,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_has_error,Message Delivery error,Message Delivery error,
building_menagement,model,"ir.model.fields,help",building_menagement.field_building__message_has_error,"If checked, some messages have a delivery error.","If checked, some messages have a delivery error.",
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_has_error_counter,Number of errors,Number of errors,
building_menagement,model,"ir.model.fields,help",building_menagement.field_building__message_has_error_counter,Number of messages with delivery error,Number of messages with delivery error,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_ids,Messages,Messages,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_is_follower,Is Follower,Is Follower,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_main_attachment_id,Main Attachment,Main Attachment,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_needaction,Action Needed,Action Needed,
building_menagement,model,"ir.model.fields,help",building_menagement.field_building__message_needaction,"If checked, new messages require your attention.","If checked, new messages require your attention.",
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_needaction_counter,Number of Actions,Number of Actions,
building_menagement,model,"ir.model.fields,help",building_menagement.field_building__message_needaction_counter,Number of messages which requires an action,Number of messages which requires an action,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_partner_ids,Followers (Partners),Followers (Partners),
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_unread,Unread Messages,Unread Messages,
building_menagement,model,"ir.model.fields,help",building_menagement.field_building__message_unread,"If checked, new messages require your attention.","If checked, new messages require your attention.",
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__message_unread_counter,Unread Messages Counter,Unread Messages Counter,
building_menagement,model,"ir.model.fields,help",building_menagement.field_building__message_unread_counter,Number of unread messages,Number of unread messages,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__name,Name,Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__pin,pin,pin,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__rate_sqft,rate_sqft,rate_sqft,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__sqft,sqft,sqft,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__state,State,State,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__total_floor,total floor,total floor,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__total_office,total office,total office,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__total_price,total_price,total_price,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__user_id,User,User,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__building_many_id,many to building,many to building,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__building_review,building review,building review,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__building_selection,Building Selection,Building Selection,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_category__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__building_ids,building,building,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__end_date,end date,end date,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__level,Level,Level,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__start_date,start date,start date,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_building_wizard__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__building_id,building id,building id,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__floor_code,Floor Code,Floor Code,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__full_number,floor number,floor number,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__office_line,Office Line,Office Line,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_floor__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__employee,toatal employee,toatal employee,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__floor_office_id,floor_office_id,floor_office_id,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__office_building_id,office_building_id,office_building_id,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__office_number,office number,office number,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__rental_line,Rental Line,Rental Line,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__revenue,revenue per year,revenue per year,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__text_name,office Name,ઓફિસનું નામ,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_office__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__agreement_end_date,End_date,End_date,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__agreement_number,agreement number,agreement number,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__agreement_party,agreement_party,agreement_party,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__agreement_price,aggrement price,aggrement price,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__agreement_start_date,start_date,start_date,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__building_id,Building,Building,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__building_name,building_name,building_name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__building_star,building_star,building_star,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__customer_id,Customer,Customer,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__finals_cost,finals cost,finals cost,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__finals_sale_date,Finals Sale Date,Finals Sale Date,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__floor_id,Floor,Floor,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__floor_number,floor_number,floor_number,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_attachment_count,Attachment Count,Attachment Count,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_channel_ids,Followers (Channels),Followers (Channels),
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_follower_ids,Followers,Followers,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_has_error,Message Delivery error,Message Delivery error,
building_menagement,model,"ir.model.fields,help",building_menagement.field_rent_agreement__message_has_error,"If checked, some messages have a delivery error.","If checked, some messages have a delivery error.",
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_has_error_counter,Number of errors,Number of errors,
building_menagement,model,"ir.model.fields,help",building_menagement.field_rent_agreement__message_has_error_counter,Number of messages with delivery error,Number of messages with delivery error,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_ids,Messages,Messages,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_is_follower,Is Follower,Is Follower,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_main_attachment_id,Main Attachment,Main Attachment,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_needaction,Action Needed,Action Needed,
building_menagement,model,"ir.model.fields,help",building_menagement.field_rent_agreement__message_needaction,"If checked, new messages require your attention.","If checked, new messages require your attention.",
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_needaction_counter,Number of Actions,Number of Actions,
building_menagement,model,"ir.model.fields,help",building_menagement.field_rent_agreement__message_needaction_counter,Number of messages which requires an action,Number of messages which requires an action,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_partner_ids,Followers (Partners),Followers (Partners),
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_unread,Unread Messages,Unread Messages,
building_menagement,model,"ir.model.fields,help",building_menagement.field_rent_agreement__message_unread,"If checked, new messages require your attention.","If checked, new messages require your attention.",
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__message_unread_counter,Unread Messages Counter,Unread Messages Counter,
building_menagement,model,"ir.model.fields,help",building_menagement.field_rent_agreement__message_unread_counter,Number of unread messages,Number of unread messages,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__new_id,Service Number,Service Number,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__office_area,office area,office area,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__office_id,Office,Office,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__office_name,office_name,office_name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__office_rate,office rate,office rate,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__other_expenses,other expences,other expences,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__rental_id,Rental,Rental,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__sold,sold,sold,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__state,State,State,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__term_condition,add condition,add condition,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_agreement__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__create_date,Created on,Created on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__create_uid,Created by,Created by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__display_name,Display Name,Display Name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__final_cost,final cost,final cost,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__final_sale_date,Final Sale Date,Final Sale Date,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__id,ID,ID,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__rents_sold,sold,sold,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__state,State,State,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__write_date,Last Updated on,Last Updated on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_rent_wizard__write_uid,Last Updated by,Last Updated by,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_partner____last_update,Last Modified on,Last Modified on,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_partner__building_pref,building preferance,building preferance,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_partner__display_name,Display Name,પ્રદર્શન નામ,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_partner__id,ID,ઓળખ,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_partner__rent_count,Rent Count,Rent Count,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_partner__rent_name,rent name,rent name,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_users__building_pref,building preferance,building preferance,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_users__rent_count,Rent Count,Rent Count,
building_menagement,model,"ir.model.fields,field_description",building_menagement.field_res_users__rent_name,rent name,rent name,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building__state__cancel,cancel,cancel,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building__state__confirm,confirm,confirm,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building__state__done,done,done,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building__state__draft,draft,draft,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building_category__building_selection__2,2star,2star,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building_category__building_selection__3,3star,3star,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building_category__building_selection__4,4star,4star,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__building_category__building_selection__5,5star,5star,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_agreement__state__cancel,cancel,cancel,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_agreement__state__confirm,confirm,confirm,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_agreement__state__draft,draft,draft,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_agreement__state__expired,expired,expired,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_wizard__state__stage1,stage1,stage1,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_wizard__state__stage2,stage2,stage2,
building_menagement,model,"ir.model.fields.selection,name",building_menagement.selection__rent_wizard__state__stage3,stage3,stage3,
building_menagement,model,"ir.module.category,name",building_menagement.building_menagement,building,building,
building_menagement,model,"ir.module.category,description",building_menagement.building_menagement,User access level for Building module,User access level for Building module,
building_menagement,model,"ir.ui.menu,name",building_menagement.menu_action_building_category_form,my building_category,my building_category,
building_menagement,model,"ir.ui.menu,name",building_menagement.menu_action_building_form,my building,my building,
building_menagement,model,"ir.ui.menu,name",building_menagement.menu_action_building_root,bms,bms,
building_menagement,model,"ir.ui.menu,name",building_menagement.menu_action_floor_form,my floor,my floor,
building_menagement,model,"ir.ui.menu,name",building_menagement.menu_action_office_form,my office,my office,
building_menagement,model,"ir.ui.menu,name",building_menagement.menu_action_rent_agreement_form,my rent_agreement,my rent_agreement,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_category_form_view,building_category,building_category,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_category_list_view,building_category,building_category,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_form_view,cancel,cancel,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_form_view,confirm,confirm,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_form_view,sqfts,sqfts,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_form_view,draft,draft,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_form_view,done,done,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_form_view,building,building,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_list_view,building,building,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_wizard,wizard,wizard,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_wizard,cancel,cancel,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.building_wizard,create,create,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_form_view,floor,floor,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_graph_view,building,building,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_list_view,floor,floor,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_pivot_view,floor,floor,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_search_view,building name,building name,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_search_view,Group by,Group by,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.floor_search_view,building,building,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.office_form_view,office,office,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.office_list_view,office,office,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,Send e-mail,Send e-mail,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,Cancel,Cancel,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,Save file,Save file,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,Done,Done,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,Confirm,Confirm,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,Draft,Draft,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_form_view,building,building,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_list_view,rent_agreement,rent_agreement,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_pivot_view,rent_agreement,rent_agreement,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_search_view,building rate,building rate,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_search_view,rent_agreement,rent_agreement,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_search_view,office rate,office rate,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_agreement_search_view,Group by,Group by,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_wizard_ids,next1,next1,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_wizard_ids,cancel,cancel,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_wizard_ids,rent wizard,rent wizard,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_wizard_ids,next2,next2,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.rent_wizard_ids,create,create,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.report_building_info,Building Report,Building Report,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.report_info_card,Agreement Date,કરારની તારીખ,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.report_info_card,Agreement Report By Date,Agreement Report By Date,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.report_property_offers,<strong>Expected Price: </strong>,<strong>Expected Price: </strong>,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.report_property_offers,Price,Price,
building_menagement,model_terms,"ir.ui.view,arch_db",building_menagement.res_form_form_view,rentagreement,rentagreement,
building_menagement,model,"mail.template,subject",building_menagement.rent_email_template,${object.new_id},${object.new_id},
building_menagement,model,"mail.template,body_html",building_menagement.rent_email_template,"
                
                Invoice no : <b>${(object.new_id)}</b>
                <p>hello,<b>${(object.agreement_party)}</b><br/><br/>
                Rentagreement for office.Total expence of rent agreement : <b>${(object.agreement_price)}</b><br/></p>
                rent agreement duration :<b>${format_date(object.agreement_start_date)}</b> to <b>${format_date(object.agreement_end_date)}</b>
                <br/><br/> Regards,<br/>
                ${(object.rental_id.name)} 
            ", ઇન્વoiceઇસ નં ,
building_menagement,model,"res.groups,name",building_menagement.building_admin,Building Admin,Building Admin,
building_menagement,model,"res.groups,name",building_menagement.building_executive,building executive,building executive,
building_menagement,model,"res.groups,name",building_menagement.building_manager,Building Manager,Building Manager,
building_menagement,model,"res.groups,name",building_menagement.building_order_12,anand,આનંદ,
